date,discharge_m3_per_s
2007-01-15T00:00:00,324.455
2007-01-16T00:00:00,321.132
2007-01-17T00:00:00,314.459
2007-01-18T00:00:00,313.513
2007-01-19T00:00:00,332.022
2007-01-20T00:00:00,347.573
2007-01-21T00:00:00,339.49
2007-01-22T00:00:00,364.159
2007-01-23T00:00:00,385.22
2007-01-24T00:00:00,395.179
2007-01-25T00:00:00,402.224
2007-01-26T00:00:00,390.671
2007-01-27T00:00:00,369.707
2007-01-28T00:00:00,352.329
2007-01-29T00:00:00,315.744
2007-01-30T00:00:00,316.628
2007-01-31T00:00:00,317.653
2007-02-01T00:00:00,323.967
2007-02-02T00:00:00,300.287
2007-02-03T00:00:00,297.517
2007-02-04T00:00:00,282.25
2007-02-05T00:00:00,259.085
2007-02-06T00:00:00,241.018
2007-02-07T00:00:00,230.959
2007-02-08T00:00:00,254.174
2007-02-09T00:00:00,276.571
2007-02-10T00:00:00,329.228
2007-02-11T00:00:00,364.413
2007-02-12T00:00:00,471.826
2007-02-13T00:00:00,594.415
2007-02-14T00:00:00,607.125
2007-02-15T00:00:00,658.153
2007-02-16T00:00:00,686.113
2007-02-17T00:00:00,692.662
2007-02-18T00:00:00,637.414
2007-02-19T00:00:00,592.086
2007-02-20T00:00:00,580.425
2007-02-21T00:00:00,552.445
2007-02-22T00:00:00,526.26
2007-02-23T00:00:00,489.021
2007-02-24T00:00:00,457.809
2007-02-25T00:00:00,437.047
2007-02-26T00:00:00,423.612
2007-02-27T00:00:00,421.759
2007-02-28T00:00:00,435.768
2007-03-01T00:00:00,493.89
2007-03-02T00:00:00,640.074
2007-03-03T00:00:00,867.86
2007-03-04T00:00:00,927.214
2007-03-05T00:00:00,954.51
2007-03-06T00:00:00,952.037
2007-03-07T00:00:00,886.334
2007-03-08T00:00:00,906.502
2007-03-09T00:00:00,895.093
2007-03-10T00:00:00,859.824
2007-03-11T00:00:00,823.919
2007-03-12T00:00:00,805.183
2007-03-13T00:00:00,763.861
2007-03-14T00:00:00,710.238
2007-03-15T00:00:00,673.196
2007-03-16T00:00:00,615.569
2007-03-17T00:00:00,583.689
2007-03-18T00:00:00,529.172
2007-03-19T00:00:00,502.867
2007-03-20T00:00:00,469.382
2007-03-21T00:00:00,483.517
2007-03-22T00:00:00,481.637
2007-03-23T00:00:00,452.582
2007-03-24T00:00:00,449.282
2007-03-25T00:00:00,448.17
2007-03-26T00:00:00,465.424
2007-03-27T00:00:00,480.541
2007-03-28T00:00:00,471.413
2007-03-29T00:00:00,469.396
2007-03-30T00:00:00,479.721
2007-03-31T00:00:00,483.907
2007-04-01T00:00:00,518.799
2007-04-02T00:00:00,518.421
2007-04-03T00:00:00,494.528
2007-04-04T00:00:00,482.306
2007-04-05T00:00:00,449.489
2007-04-06T00:00:00,402.871
2007-04-07T00:00:00,381.915
2007-04-08T00:00:00,374.141
2007-04-09T00:00:00,360.319
2007-04-10T00:00:00,320.885
2007-04-11T00:00:00,305.956
2007-04-12T00:00:00,301.654
2007-04-13T00:00:00,272.467
2007-04-14T00:00:00,256.664
2007-04-15T00:00:00,254.402
2007-04-16T00:00:00,257.335
2007-04-17T00:00:00,256.183
2007-04-18T00:00:00,244.589
2007-04-19T00:00:00,200.602
2007-04-20T00:00:00,213.129
2007-04-21T00:00:00,210.636
2007-04-22T00:00:00,205.241
2007-04-23T00:00:00,194.134
2007-04-24T00:00:00,179.31
2007-04-25T00:00:00,169.952
2007-04-26T00:00:00,182.481
2007-04-27T00:00:00,170.912
2007-04-28T00:00:00,171.199
2007-04-29T00:00:00,172.507
2007-04-30T00:00:00,187.213
2007-05-01T00:00:00,167.663
2007-05-02T00:00:00,168.586
2007-05-03T00:00:00,153.205
2007-05-04T00:00:00,152.698
2007-05-05T00:00:00,164.612
2007-05-06T00:00:00,156.119
2007-05-07T00:00:00,151.527
2007-05-08T00:00:00,153.125
2007-05-09T00:00:00,150.351
2007-05-10T00:00:00,138.541
2007-05-11T00:00:00,144.9
2007-05-12T00:00:00,156.662
2007-05-13T00:00:00,157.246
2007-05-14T00:00:00,149.289
2007-05-15T00:00:00,141.843
2007-05-16T00:00:00,140.259
2007-05-17T00:00:00,128.04
2007-05-18T00:00:00,144.606
2007-05-19T00:00:00,151.035
2007-05-20T00:00:00,212.033
2007-05-21T00:00:00,191.96
2007-05-22T00:00:00,183.819
2007-05-23T00:00:00,174.43
2007-05-24T00:00:00,153.721
2007-05-25T00:00:00,165.859
2007-05-26T00:00:00,163.001
2007-05-27T00:00:00,165.754
2007-05-28T00:00:00,192.898
2007-05-29T00:00:00,178.778
2007-05-30T00:00:00,167.83
2007-05-31T00:00:00,164.346
2007-06-01T00:00:00,169.567
2007-06-02T00:00:00,174.577
2007-06-03T00:00:00,165.136
2007-06-04T00:00:00,165.632
2007-06-05T00:00:00,152.147
2007-06-06T00:00:00,142.944
2007-06-07T00:00:00,133.765
2007-06-08T00:00:00,136.343
2007-06-09T00:00:00,137.18
2007-06-10T00:00:00,135.559
2007-06-11T00:00:00,135.709
2007-06-12T00:00:00,133.649
2007-06-13T00:00:00,138.439
2007-06-14T00:00:00,151.6
2007-06-15T00:00:00,168.401
2007-06-16T00:00:00,154.329
2007-06-17T00:00:00,168.6
2007-06-18T00:00:00,177.494
2007-06-19T00:00:00,143.775
2007-06-20T00:00:00,161.319
2007-06-21T00:00:00,149.767
2007-06-22T00:00:00,152.989
2007-06-23T00:00:00,162.243
2007-06-24T00:00:00,133.695
2007-06-25T00:00:00,129.335
2007-06-26T00:00:00,146.866
2007-06-27T00:00:00,150.002
2007-06-28T00:00:00,141.422
2007-06-29T00:00:00,141.518
2007-06-30T00:00:00,139.593
2007-07-01T00:00:00,137.986
2007-07-02T00:00:00,136.425
